train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
0.012486626,0.03203759,0.012899237,-0.13954586,0.12299533,39.13831665685697,17.61213958085285,35.0,11,161,0.00025065789473684207,7.09275554982014e-05,-0.04476456344127655,21.881732940673828,0.01908203214406967,0.014223329722881317,0.152923583984375,0.0014076828956604004,1219,1397.4940972328186,1703936,1703936,53248
0.0146053,0.031261835,0.015851626,-0.11707282,0.13925345,39.44841979725701,18.207719311430246,35.0,11,141,0.0002486842105263158,6.864410534035414e-05,-0.042263664305210114,21.842727661132812,0.009426299482584,0.013775717467069626,0.1508148193359375,0.004866838455200195,1221,1448.905443429947,1769472,1769472,55296
0.01703562,0.029501826,0.017482154,-0.12234142,0.11414497,40.05320435308344,19.175119251711816,35.0,13,190,0.0002467105263157895,6.231726729311049e-05,-0.04204733297228813,21.800857543945312,0.014215134084224701,0.014288151636719704,0.15383148193359375,0.010736644268035889,1222,1500.6618411540985,1835008,1835008,57344
0.019027676,0.030954488,0.02005678,-0.16567199,0.15077843,40.30508474576271,18.80101996885625,36.0,12,133,0.00024473684210526314,6.797889363951981e-05,-0.040501922369003296,21.757705688476562,0.014160683378577232,0.013688258826732635,0.153021240234375,0.019276440143585205,1226,1549.4769225120544,1900544,1900544,59392
0.020992843,0.02963406,0.0213936,-0.13111995,0.1450946,41.86805555555556,22.26072865291093,36.0,9,304,0.00024276315789473682,6.820422277087346e-05,-0.04409501329064369,21.735837936401367,0.012683659791946411,0.015202265232801437,0.15287322998046876,0.02411121129989624,1228,1600.023025751114,1966080,1966080,61440
0.022950359,0.029161151,0.022666626,-0.12385441,0.13958976,41.637390213299874,22.713540027740585,35.5,12,244,0.0002407894736842105,6.598998152185231e-05,-0.04333428293466568,21.675281524658203,0.016936030238866806,0.015785280615091324,0.15616455078125,0.04057002067565918,1230,1650.721265077591,2031616,2031616,63488
0.023768676,0.028667083,0.025262868,-0.103415154,0.12185693,43.28618205631958,23.66321130740235,37.0,12,219,0.00023881578947368418,6.65603147353977e-05,-0.041670724749565125,21.614315032958984,0.020199913531541824,0.015988245606422424,0.15740966796875,0.05156278610229492,1233,1700.420024394989,2097152,2097152,65536
0.02654484,0.02755233,0.026943902,-0.09264436,0.16414218,42.93471234647705,23.08090385544064,37.0,13,206,0.00023684210526315788,6.0957871028222144e-05,-0.0448005348443985,21.566104888916016,0.01700577512383461,0.015452582389116287,0.15513153076171876,0.04622650146484375,1232,1754.8530950546265,2162688,2162688,67584
0.027546303,0.027533257,0.027997319,-0.08653065,0.121794924,45.273972602739725,27.05613660621272,37.0,12,267,0.00023486842105263156,6.324749847408384e-05,-0.046383023262023926,21.518922805786133,0.014205684885382652,0.014503458514809608,0.15212554931640626,0.06416666507720947,1235,1803.286404132843,2228224,2228224,69632
0.029979508,0.026975077,0.029935176,-0.08804899,0.13448949,46.67020523708422,28.518631196010126,38.0,12,241,0.00023289473684210524,6.391307397279888e-05,-0.04261152818799019,21.47428321838379,0.024331163614988327,0.015218157321214676,0.1514801025390625,0.07770293951034546,1236,1854.5186495780945,2293760,2293760,71680
