train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.36590332,0.2644776,-0.32836115,-1.2460164,0.0063079223,312.3204419889503,255.26161874048867,243.0,31,1000,0.0003,0.03138430416584015,-0.016623899340629578,22.711952209472656,0.005776835605502129,0.007284550927579403,0.064532470703125,-8.462113380432129,2435,26.911775588989258,65536,65536,2048
-0.40889338,0.30054522,-0.34119838,-1.2899909,0.042378988,371.8639053254438,301.31473126459673,279.0,24,1000,0.0002980263157894737,0.00404472928494215,-0.022759413346648216,22.712921142578125,0.007891548797488213,0.008460123091936111,0.09111480712890625,-1.5220725536346436,2462,53.217671394348145,131072,131072,4096
-0.47958755,0.3554104,-0.4060731,-1.3624886,0.022749495,449.9931506849315,346.04739750928616,367.0,32,1000,0.00029605263157894733,0.0019279273692518473,-0.021688681095838547,22.71771812438965,0.013007162138819695,0.009862396866083145,0.12467498779296875,-0.42734432220458984,2786,70.55071234703064,196608,196608,6144
-0.5612463,0.3620874,-0.571295,-1.2272166,0.012207357,565.7027027027027,371.54781183473807,556.0,27,1000,0.00029407894736842104,0.00102869956754148,-0.019945593550801277,22.735641479492188,0.009503709152340889,0.010314896702766418,0.13710479736328124,-0.2763262987136841,2690,97.43211150169373,262144,262144,8192
-0.7677295,0.36917073,-0.89872766,-1.3124802,0.055954613,750.3863636363636,334.75762710498276,1000.0,51,1000,0.0002921052631578947,0.0005153533420525491,-0.02158816158771515,22.717334747314453,0.010737212374806404,0.01099790632724762,0.13274688720703126,-0.28481268882751465,2521,129.9578619003296,327680,327680,10240
-0.80602664,0.29864988,-0.87402445,-1.2444706,-0.05059974,824.1125,287.80036456500534,1000.0,62,1000,0.0002901315789473684,0.0003296242211945355,-0.02257424220442772,22.697017669677734,0.005952412728220224,0.010732097551226616,0.1281005859375,-0.3069995641708374,2509,156.66566252708435,393216,393216,12288
-0.7490229,0.30306545,-0.85477054,-1.2268182,-0.13215692,772.2469135802469,312.49705305728304,1000.0,89,1000,0.00028815789473684206,0.00019354275718796998,-0.0200504120439291,22.64856719970703,0.011341662146151066,0.010702267289161682,0.11709747314453126,-0.26528728008270264,2519,182.1100103855133,458752,458752,14336
-0.714959,0.2638287,-0.7734839,-1.115139,-0.100457445,792.3666666666667,277.45844333481324,1000.0,69,1000,0.00028618421052631576,0.00014123340952210128,-0.021172674372792244,22.586467742919922,0.007707903161644936,0.009241065941751003,0.1166656494140625,-0.27279555797576904,2470,212.21447229385376,524288,524288,16384
-0.6139846,0.2717042,-0.67758834,-1.1348305,-0.09766826,712.7472527472528,308.20895557178477,799.0,74,1000,0.00028421052631578947,0.00010234961519017816,-0.020083025097846985,22.54218864440918,0.014909808523952961,0.010146807879209518,0.12206268310546875,-0.23861539363861084,2458,239.8767466545105,589824,589824,18432
-0.5937962,0.30494764,-0.6948006,-1.1130112,-0.03072748,731.0116279069767,348.9965513985025,1000.0,25,1000,0.0002822368421052631,8.008477743715048e-05,-0.022262856364250183,22.481279373168945,0.01830972544848919,0.010593808256089687,0.1288543701171875,-0.18988800048828125,2471,265.1327621936798,655360,655360,20480
